Початок тривоги,Гео,Тривалість тривоги
2023-03-21 17:32:08+00:00,"['заток', 'беляевк', 'одесс', 'одесс', 'одесс', 'заток', 'татарбунар', 'одес', 'одесс', 'таиров']",43
2023-04-03 22:23:20+00:00,"['очаков', 'николаев', 'одесс', 'одес']",111
2023-04-04 09:41:29+00:00,['одес'],122
2023-04-18 22:47:37+00:00,"['чорноморськ', 'одес', 'одес', 'одес', 'таїров']",72
2023-05-03 23:36:26+00:00,"['одес', 'латовк', 'одес', 'одес', 'пересип', 'центр', 'одес', 'одес']",115
2023-05-06 19:37:42+00:00,"['одесс', 'николаев', 'николаев', 'николаев', 'николаев']",147
2023-05-07 19:58:48+00:00,"['заток', 'білгород', 'центр', 'маяк', 'николаев', 'заток', 'заток', 'белгород']",41
2023-05-12 22:17:11+00:00,"['николаев', 'николаев', 'николаев', 'николаев']",105
2023-05-13 19:13:57+00:00,['одесс'],115
2023-05-18 22:13:12+00:00,"['николаев', 'коблев', 'одесс', 'николаев']",142
2023-05-24 21:52:43+00:00,['березівк'],112
2023-05-28 22:20:20+00:00,"['винниц', 'винниц']",246
2023-06-01 22:33:50+00:00,['одесс'],168
2023-06-09 20:12:59+00:00,"['николаев', 'николаев', 'одесс']",93
2023-06-09 21:58:39+00:00,"['сергеевк', 'заток']",14
2023-06-14 23:57:37+00:00,"['николаев', 'винниц', 'одесс', 'одесс', 'одесс', 'одесс', 'черноморск', 'одесс']",125
2023-06-15 21:04:41+00:00,"['коблев', 'одесс', 'поскот', 'пересып', 'фонтанк', 'поскот', 'одесс', 'коблев', 'одесс', 'одесс']",104
2023-06-18 22:59:56+00:00,"['одесс', 'одес', 'одес']",47
2023-06-19 21:47:31+00:00,['николаев'],132
2023-06-21 23:17:54+00:00,"['заток', 'заток', 'сергеевк', 'сергеевк']",40
2023-06-25 22:55:14+00:00,"['одесс', 'одесс', 'приморск', 'одесс']",61
2023-07-01 22:01:03+00:00,['одесс'],37
2023-07-05 22:04:37+00:00,['одесс'],101
2023-07-06 21:28:40+00:00,"['одес', 'коблев', 'очаков', 'николаев', 'одесс', 'очаков', 'очаков', 'очаков', 'кинбурнск', 'очаков', 'николаев']",90
2023-07-10 23:36:46+00:00,"['заток', 'заток', 'грибовк', 'черноморск', 'черноморск', 'заток', 'черноморск', 'одесс', 'черноморск', 'сергеевк', 'заток', 'грибовк', 'черноморск', 'одесс', 'балк', 'лиманк', 'черноморск']",94
2023-07-13 22:45:52+00:00,"['южн', 'коблев', 'фонтанк', 'николаев', 'фонтанк', 'одесс', 'фонтанк', 'фонтанк', 'поскот', 'одесс']",84
2023-07-17 22:55:44+00:00,"['одес', 'одесс', 'черноморск', 'черноморск', 'одесс', 'центр', 'черноморск', 'одесс', 'поскот', 'кинбурнск', 'одесс', 'очаков', 'фонтанк', 'таиров', 'одесс', 'одесс', 'одес', 'одесс', 'коблев', 'санжейк', 'одесс', 'аркад']",137
2023-07-18 21:56:09+00:00,"['одесс', 'центр', 'заток', 'черноморск', 'одесс', 'одесс', 'одесс', 'заток', 'заток', 'одесс', 'сергеевк', 'одесс', 'одесс', 'одесс', 'одесс', 'заток', 'одесс', 'черноморск', 'одесс', 'одесс', 'черноморск', 'одесс', 'заток', 'одесс', 'одесс', 'одесс', 'одесс', 'одесс']",145
2023-07-19 22:56:34+00:00,"['доброслав', 'коблев', 'одесс', 'поскот', 'одесс', 'одесс', 'одесс', 'черноморск', 'одесс', 'одесс', 'одесс', 'черноморск', 'одесс', 'черноморск', 'одесс']",108
2023-07-21 07:51:16+00:00,"['заток', 'одесс']",43
2023-07-22 21:38:16+00:00,"['чорноморськ', 'одес', 'одесс', 'одесс', 'николаев', 'одесс', 'николаев', 'черноморск', 'одесс', 'заток', 'сергеевк', 'черноморск', 'одесс', 'одесс', 'одесс', 'одесс', 'одес', 'одесс', 'одесс']",50
2023-07-23 22:48:21+00:00,"['приморск', 'вилков', 'вилков', 'першотравнев', 'рен', 'измаил', 'орловк', 'орловк', 'рен', 'одесс', 'измаил', 'орловк', 'измаил', 'измаил', 'измаил', 'измаил', 'измаил', 'измаил', 'рен', 'измаил', 'центр', 'рен', 'рен']",233
2023-07-24 08:57:25+00:00,"['одес', 'чорноморськ', 'одесс']",37
2023-08-01 21:59:02+00:00,"['заток', 'черноморск', 'татарбунар', 'измаил', 'кил', 'кил', 'болград', 'рен', 'измаил', 'измаил', 'измаил', 'измаил', 'измаил']",174
2023-08-05 22:55:13+00:00,['черноморск'],152
2023-08-10 09:28:25+00:00,['білгород'],44
2023-08-13 21:55:52+00:00,"['фонтанк', 'черноморск', 'поскот', 'фонтанк', 'поскот', 'одес', 'пересып', 'пересып', 'одесс', 'одесс', 'коблев', 'доброслав', 'коблев', 'одесс', 'одесс']",90
2023-08-13 23:42:58+00:00,"['одес', 'одесс', 'поскот', 'одес', 'одесс', 'одесс', 'центр', 'пересып']",40
2023-08-15 22:22:31+00:00,"['кил', 'рен', 'ізмаїл', 'вилков', 'кил', 'рен', 'измаил', 'рен', 'рен', 'рен', 'рен', 'рен', 'рен', 'рен']",69
2023-08-16 00:21:28+00:00,"['рен', 'измаил', 'измаил', 'рен', 'рен', 'измаил', 'измаил', 'измаил', 'рен', 'рен', 'рен']",92
2023-08-22 22:32:21+00:00,"['белгород', 'заток', 'одесс', 'вилков', 'кил', 'рен', 'одесс', 'рен', 'измаил', 'одесс', 'одесс', 'измаил', 'измаил', 'рен', 'измаил', 'измаил', 'измаил', 'ізмаїл', 'измаил', 'ізмаїл', 'измаил', 'измаил']",175
2023-08-24 20:19:40+00:00,"['черноморск', 'черноморск']",20
2023-09-02 22:05:30+00:00,"['рен', 'рен', 'измаил', 'рен', 'измаил', 'ізмаїл', 'рен', 'рен', 'рен', 'кил']",223
2023-09-03 23:00:12+00:00,"['вилков', 'измаил', 'одесс', 'одесс', 'одес', 'рен', 'рен', 'вилков', 'измаил', 'измаил', 'южн', 'измаил', 'измаил', 'измаил', 'измаил', 'вилков', 'измаил']",216
